Descricao,Tamanho,Comprimento LCS,Tempo DP (s),Razao Tempo DP,Mem DP (MB),Razao Mem DP,Tempo Rec (s),Mem Rec Estimada (MB),Chamadas Rec,Razao Crescimento Rec
Tamanho 1,1,0,6.400002166628838e-05,0,0.00124359130859375,0,1.9499973859637976e-05,0.0005035400390625,3,0
Tamanho 2,2,0,5.099998088553548e-05,0.7968744315660038,0.0013275146484375,1.0674846625766872,2.3100001271814108e-05,0.00079345703125,11,3.6666666666666665
Tamanho 3,3,0,5.3499999921768904e-05,1.0490199994749896,0.00141143798828125,1.0632183908045978,4.910002462565899e-05,0.001129150390625,39,3.5454545454545454
Tamanho 4,4,1,0.00013200001558288932,2.4672900145029555,0.002044677734375,1.4486486486486487,0.00013280002167448401,0.00146484375,102,2.6153846153846154
Tamanho 5,5,1,0.00010420003673061728,0.7893941244664849,0.00215911865234375,1.0559701492537314,0.0005599000141955912,0.0018310546875,428,4.196078431372549
Tamanho 6,6,1,0.00013499998021870852,1.2955847661332083,0.0022735595703125,1.0530035335689045,0.003455400001257658,0.002166748046875,1692,3.953271028037383
Tamanho 7,7,3,0.00016719999257475138,1.2385186449944423,0.002429962158203125,1.0687919463087248,0.004051700001582503,0.0026674270629882812,2529,1.4946808510638299
Tamanho 8,8,0,0.00022009998792782426,1.3163875460665615,0.00274658203125,1.130298273155416,0.05744279996724799,0.002838134765625,25739,10.177540529853697
Tamanho 9,9,1,0.00024399999529123306,1.1085870453170863,0.00328826904296875,1.1972222222222222,0.10160720004932955,0.003173828125,54678,2.1243249543494307
Tamanho 10,10,1,0.00025510002160444856,1.0454919119976487,0.0034637451171875,1.0533642691415313,0.7647752999910153,0.003509521484375,324394,5.932806613263104
Tamanho 11,11,3,0.00031129998387768865,1.2203055958983111,0.003681182861328125,1.0627753303964758,N/A,N/A,N/A,N/A
Tamanho 12,12,1,0.00034090003464370966,1.095085294889225,0.003814697265625,1.0362694300518134,N/A,N/A,N/A,N/A
Tamanho 13,13,1,0.0005216999561525881,1.5303605254773318,0.00399017333984375,1.046,N/A,N/A,N/A,N/A
Tamanho 14,14,4,0.0029516000067815185,5.657658146166734,0.004208564758300781,1.0547323135755258,N/A,N/A,N/A,N/A
Tamanho 15,15,3,0.0027163999620825052,0.9203143907851254,0.004383087158203125,1.0414683888511216,N/A,N/A,N/A,N/A
Tamanho 16,16,4,0.0005750000127591193,0.2116772275016159,0.005658149719238281,1.290905134899913,N/A,N/A,N/A,N/A
Tamanho 17,17,5,0.0005971999489702284,1.0386085838582568,0.0058956146240234375,1.041968649924153,N/A,N/A,N/A,N/A
Tamanho 18,18,8,0.0008281999616883695,1.386805144770126,0.006134986877441406,1.040601747007441,N/A,N/A,N/A,N/A
Tamanho 19,19,4,0.0007642999989911914,0.9228447649684606,0.006367683410644531,1.03792942639515,N/A,N/A,N/A,N/A
Tamanho 20,20,4,0.0008301000343635678,1.0860918951448733,0.006604194641113281,1.0371424292346862,N/A,N/A,N/A,N/A
Tamanho 21,21,5,0.0010511999716982245,1.2663533648738763,0.0068416595458984375,1.035956678700361,N/A,N/A,N/A,N/A
Tamanho 22,22,5,0.0013495999737642705,1.2838660674466893,0.0070781707763671875,1.0345692779481461,N/A,N/A,N/A,N/A
Tamanho 23,23,8,0.0010847999947145581,0.8037937283659402,0.007317543029785156,1.0338183777957424,N/A,N/A,N/A,N/A
Tamanho 24,24,8,0.002110100002028048,1.945151191287824,0.009140968322753906,1.2491854554932882,N/A,N/A,N/A,N/A
Tamanho 25,25,7,0.0020197000121697783,0.9571584333579523,0.00943756103515625,1.0324465310380804,N/A,N/A,N/A,N/A
Tamanho 26,26,6,0.0016243000281974673,0.8042283598604676,0.009734153747558594,1.03142683912692,N/A,N/A,N/A,N/A
Tamanho 27,27,9,0.0015075999544933438,0.9281536220659745,0.010034561157226562,1.0308611737043205,N/A,N/A,N/A,N/A
Tamanho 28,28,7,0.0015916000120341778,1.0557177368508635,0.0103302001953125,1.0294620794525755,N/A,N/A,N/A,N/A
Tamanho 29,29,6,0.0016458999598398805,1.0341165791625646,0.010626792907714844,1.028711225997046,N/A,N/A,N/A,N/A
Tamanho 30,30,6,0.0021865000016987324,1.3284525518254728,0.010924339294433594,1.0279996410302432,N/A,N/A,N/A,N/A
Tamanho 31,31,8,0.0023337999591603875,1.0673679201222113,0.011223793029785156,1.027411610650371,N/A,N/A,N/A,N/A
Tamanho 32,32,10,0.0023953000199981034,1.0263518990118765,0.013598442077636719,1.2115727759367831,N/A,N/A,N/A,N/A
Tamanho 33,33,12,0.002224800002295524,0.9288189302888602,0.013958930969238281,1.0265095729013254,N/A,N/A,N/A,N/A
Tamanho 34,34,10,0.0025070999981835485,1.126887808161071,0.014315605163574219,1.0255516840882695,N/A,N/A,N/A,N/A
Tamanho 35,35,6,0.002322099986486137,0.9262095601166893,0.014670372009277344,1.024781826660449,N/A,N/A,N/A,N/A
Tamanho 36,36,9,0.002664599975105375,1.1474957971717308,0.015031814575195312,1.0246375869466293,N/A,N/A,N/A,N/A
Tamanho 37,37,13,0.0035791000118479133,1.3432034996946862,0.015394210815429688,1.0241086156579113,N/A,N/A,N/A,N/A
Tamanho 38,38,11,0.002939100028015673,0.8211841016697927,0.015750885009765625,1.0231693718250527,N/A,N/A,N/A,N/A
Tamanho 39,39,15,0.00567610003054142,1.9312374456250223,0.01611328125,1.0230079922499395,N/A,N/A,N/A,N/A
