Descricao,Tamanho,Comprimento LCS,Tempo DP (s),Razao Tempo DP,Mem DP (MB),Razao Mem DP,Tempo Rec (s),Mem Rec Estimada (MB),Chamadas Rec,Razao Crescimento Rec
Tamanho 1,1,0,5.900004180148244e-05,0,0.00124359130859375,0,2.2300053387880325e-05,0.0005035400390625,3,0
Tamanho 2,2,0,4.8200017772614956e-05,0.8169488749651,0.0013275146484375,1.0674846625766872,2.47000134550035e-05,0.00079345703125,11,3.6666666666666665
Tamanho 3,3,0,5.719996988773346e-05,1.1867209293900274,0.00141143798828125,1.0632183908045978,5.170004442334175e-05,0.001129150390625,39,3.5454545454545454
Tamanho 4,4,1,0.00016200001118704677,2.832169518707871,0.002044677734375,1.4486486486486487,0.00012749998131766915,0.00146484375,102,2.6153846153846154
Tamanho 5,5,1,0.00010579999070614576,0.6530863172841889,0.00215911865234375,1.0559701492537314,0.0005879999953322113,0.0018310546875,428,4.196078431372549
Tamanho 6,6,1,0.00022629997693002224,2.138941368705402,0.0022735595703125,1.0530035335689045,0.0039694999577477574,0.002166748046875,1692,3.953271028037383
Tamanho 7,7,3,0.000166199984960258,0.7344233402712688,0.002429962158203125,1.0687919463087248,0.0060264000203460455,0.0026674270629882812,2529,1.4946808510638299
Tamanho 8,8,0,0.00019400002202019095,1.1672685895042683,0.00274658203125,1.130298273155416,0.05490110005484894,0.002838134765625,25739,10.177540529853697
Tamanho 9,9,1,0.00023910001618787646,1.2324741703534015,0.00328826904296875,1.1972222222222222,0.10851619997993112,0.003173828125,54678,2.1243249543494307
Tamanho 10,10,1,0.00035340001340955496,1.478042615989894,0.0034637451171875,1.0533642691415313,0.6550583000062034,0.003509521484375,324394,5.932806613263104
Tamanho 11,11,3,0.0003133999998681247,0.8868137746925486,0.003681182861328125,1.0627753303964758,1.6581563000218011,0.004096031188964844,797764,2.4592440057460987
Tamanho 12,12,1,0.00034170004073530436,1.0903000666212124,0.003814697265625,1.0362694300518134,9.206849300011527,0.004180908203125,4821621,6.0439190036151045
Tamanho 13,13,1,0.0003828000044450164,1.1202808276559435,0.00399017333984375,1.046,24.274498799990397,0.0045166015625,13104756,2.717914991659444
Tamanho 14,14,4,0.00044789997627958655,1.1700626203726203,0.004208564758300781,1.0547323135755258,N/A,N/A,N/A,N/A
Tamanho 15,15,3,0.00046339997788891196,1.034605944251379,0.004383087158203125,1.0414683888511216,N/A,N/A,N/A,N/A
Tamanho 16,16,4,0.0005047000013291836,1.0891239219052622,0.005658149719238281,1.290905134899913,N/A,N/A,N/A,N/A
Tamanho 17,17,5,0.000976799987256527,1.9354071422310593,0.0058956146240234375,1.041968649924153,N/A,N/A,N/A,N/A
Tamanho 18,18,8,0.0011159999994561076,1.1425061568546315,0.006134986877441406,1.040601747007441,N/A,N/A,N/A,N/A
Tamanho 19,19,4,0.0010603000409901142,0.9500896429272946,0.006367683410644531,1.03792942639515,N/A,N/A,N/A,N/A
Tamanho 20,20,4,0.0013043000362813473,1.2301235366013799,0.006604194641113281,1.0371424292346862,N/A,N/A,N/A,N/A
