N,Num Solucoes BT,Tempo BT (s),Mem BT (MB),Tempo Guloso Simples (s),Mem Guloso Simples (MB),Guloso Simples Valido,Tempo Guloso Restart (s),Mem Guloso Restart (MB),Guloso Restart Valido
4,2,0.00047229998745024204,0.00055694580078125,5.5999960750341415e-05,0.0003204345703125,False,9.250000584870577e-05,0.00046539306640625,True
5,10,0.0002714999718591571,0.001434326171875,6.089999806135893e-05,0.00032806396484375,True,0.00014800007920712233,0.00052642822265625,True
6,4,0.001046599936671555,0.00086212158203125,8.429994340986013e-05,0.000335693359375,False,0.0006666999543085694,0.0005340576171875,True
7,40,0.004286299925297499,0.0050506591796875,0.00019399996381253004,0.00034332275390625,False,0.0007412000559270382,0.00054168701171875,True
8,92,0.028758300002664328,0.01174163818359375,0.00013179995585232973,0.0003509521484375,False,0.00048209994565695524,0.00054931640625,True
9,352,0.11755429999902844,0.04620361328125,0.00016140006482601166,0.00035858154296875,False,0.0006217000773176551,0.000579833984375,True
10,724,0.7432737000053748,0.10028839111328125,0.0002277999883517623,0.0003662109375,False,0.000835200073197484,0.0006256103515625,True
11,2680,3.8976082999724895,0.3906707763671875,0.00030529999639838934,0.00037384033203125,False,0.002924900036305189,0.00063323974609375,True
12,14200,28.080826499965042,2.1748275756835938,0.000367300002835691,0.0003814697265625,False,0.0028993000742048025,0.000640869140625,True
13,73712,229.22540430002846,11.851715087890625,0.0004906000103801489,0.00038909912109375,False,0.018232199945487082,0.00064849853515625,True
